index,month,value,year
40010,7,553.6,2022
40010,6,543.3,2022
40010,5,535.8,2022
40010,4,525.3,2022
40010,3,517.0,2022
40010,2,511.9,2022
40010,1,503.8,2022
40010,12,495.9,2021
40010,11,485.7,2021
40010,10,477.6,2021
40010,9,471.0,2021
40010,8,467.3,2021
40010,7,465.4,2021
40010,6,459.9,2021
40010,5,454.4,2021
40010,4,452.1,2021
40010,3,448.5,2021
40010,2,442.7,2021
40010,1,439.2,2021
40010,12,438.3,2020
40010,11,435.7,2020
40010,10,431.8,2020
40010,9,427.9,2020
40010,8,426.6,2020
40010,7,426.2,2020
40010,6,426.2,2020
40010,5,422.0,2020
40010,4,420.7,2020
40010,3,423.7,2020
40010,2,424.1,2020
40010,1,423.7,2020
40010,12,421.6,2019
40010,11,419.1,2019
40010,10,418.7,2019
40010,9,416.6,2019
40010,8,414.5,2019
40010,7,414.9,2019
40010,6,413.7,2019
40010,5,414.1,2019
40010,4,412.9,2019
40010,3,410.8,2019
40010,2,409.6,2019
40010,1,408.3,2019
40010,12,404.7,2018
40010,11,405.5,2018
40010,10,405.8,2018
40010,9,406.6,2018
40010,8,407.4,2018
40010,7,408.1,2018
40010,6,410.5,2018
40010,5,409.2,2018
40010,4,406.2,2018
40010,3,406.5,2018
40010,2,405.9,2018
40010,1,406.3,2018
40010,12,407.8,2017
40010,11,411.9,2017
40010,10,414.5,2017
40010,9,414.6,2017
40010,8,415.9,2017
40010,7,414.3,2017
40010,6,412.8,2017
40010,5,409.5,2017
40010,4,407.7,2017
40010,3,406.8,2017
40010,2,404.9,2017
40010,1,402.8,2017
40010,12,402.1,2016
40010,11,402.8,2016
40010,10,404.4,2016
40010,9,404.2,2016
40010,8,399.9,2016
40010,7,396.1,2016
40010,6,393.4,2016
40010,5,391.1,2016
40010,4,390.2,2016
40010,3,389.1,2016
40010,2,384.0,2016
40010,1,381.4,2016
40010,12,380.4,2015
40010,11,377.5,2015
40010,10,374.4,2015
40010,9,371.3,2015
40010,8,369.0,2015
40010,7,369.2,2015
40010,6,368.3,2015
40010,5,364.5,2015
40010,4,361.5,2015
40010,3,360.6,2015
40010,2,358.3,2015
40010,1,354.8,2015
40010,12,352.5,2014
40010,11,350.3,2014
40010,10,349.3,2014
40010,9,347.9,2014
40010,8,345.2,2014
40010,7,345.4,2014
40010,6,347.8,2014
40010,5,347.6,2014
40010,4,348.1,2014
